Site,Year,Description,Latitude,Longitude,
iglo,2014,Insect wet transect start,69.39822,-81.54031,
iglo,2014,Insect wet transect stop,69.3982,-81.53874,
iglo,2014,Insect mesic transect start,69.39869,-81.53837,
iglo,2014,Insect mesic transect stop,69.39884,-81.53701,
ikpi,2014,Field camp (housing),70.55254,-154.73534,
ikpi,2014,Lemming Winter nest transect stop,70.5555,-154.72511,
ikpi,2014,Lemming Winter nest transect start,70.55684,-154.69867,
lkri,2012,Lemming Winter nest transect stop,72.86004142,106.1277671,
lkri,2012,Lemming Winter nest transect start,72.84984486,106.0425791,
lkri,2012,Field camp (housing),72.84892341,106.0398077,
lkri,2012,Weather station ,72.84892341,106.0398077,
made,2011,Nest plot ID niglintgak uplands northwest corner,69.3404781,-135.3668091,
made,2011,niglintgak upland water surface point b1,69.33975488,-135.3652984,
made,2011,niglintgak upland water surface point b2,69.34027041,-135.3632246,
made,2011,niglintgak upland water surface point c3,69.34006254,-135.3596909,
made,2011,niglintgak upland water surface point a5,69.34255809,-135.3585132,
made,2011,niglintgak upland water surface point d6,69.34088543,-135.3520091,
made,2011,Nest plot ID niglintgak lowlands northwest corner,69.32357311,-135.3495704,
made,2011,niglintgak upland water surface point c9,69.34317286,-135.3472711,
made,2011,niglintgak upland water surface point g7,69.3392035,-135.3455312,
made,2011,niglintgak upland water surface point b11,69.34493595,-135.3445813,
made,2011,niglintgak lowland water surface point d21,69.32396804,-135.34039,
made,2011,niglintgak upland water surface point e11,69.34274748,-135.3401777,
made,2011,niglintgak upland water surface point d13,69.34451042,-135.3375128,
made,2011,niglintgak lowland water surface point h22,69.32700183,-135.3344477,
made,2011,niglintgak lowland water surface point b14,69.3180645,-135.3324829,
made,2011,niglintgak lowland water surface point f17,69.32245482,-135.3298859,
made,2011,niglintgak lowland water surface point j18,69.32549722,-135.3239427,
made,2011,niglintgak lowland water surface point i15,69.3228844,-135.3208076,
made,2011,niglintgak lowland water surface point g11,69.31900654,-135.3179339,
made,2011,niglintgak lowland water surface point b5,69.31200345,-135.3174252,
made,2011,niglintgak lowland water surface point e7,69.31512869,-135.3150358,
made,2011,niglintgak lowland water surface point h4,69.31487883,-135.3043018,
made,2011,Nest plot ID taglu northwest corner,69.37892427,-134.9778653,
made,2011,taglu water surface point b2,69.36995607,-134.9753314,
made,2011,taglu water surface point b8,69.37533679,-134.9753252,
made,2011,taglu water surface point d5,69.37264563,-134.9702414,
made,2011,taglu water surface point e8,69.37533554,-134.9676939,
made,2011,taglu water surface point e11,69.37802589,-134.9676898,
made,2011,taglu water surface point f3,69.37085112,-134.9651573,
made,2011,taglu water surface point h7,69.37443716,-134.9600642,
made,2011,taglu water surface point i10,69.37712691,-134.9575152,
made,2011,aquatic sweep pond #4,69.36953,-134.95435,
made,2011,aquatic sweep pond #5,69.36876,-134.95346,
made,2011,aquatic sweep pond #3,69.3698,-134.9529,
made,2011,taglu water surface point l7,69.37443453,-134.9498894,
made,2011,taglu water surface point l10,69.37712488,-134.9498832,
made,2011,fish island a water surface point a1,69.34235892,-134.9309907,
made,2011,fish island a water surface point a12,69.35178969,-134.9228039,
made,2011,fish island a water surface point c8,69.347834,-134.9209126,
made,2011,fish island a water surface point e3,69.34301772,-134.9197872,
made,2011,Nest plot ID fish a northwest corner,69.35689936,-134.9183886,
made,2011,fish island a water surface point d11,69.35014553,-134.9162544,
made,2011,fish island a water surface point c16,69.3546916,-134.9149407,
made,2011,fish island a water surface point g6,69.34506794,-134.9126924,
made,2011,fish island b water surface point d2,69.3593708,-134.9108806,
made,2011,fish island a water surface point g10,69.34849215,-134.909706,
made,2011,fish island a water surface point f14,69.35218663,-134.9091569,
made,2011,fish island b water surface point c6,69.36231787,-134.9045637,
made,2011,fish island a water surface point h17,69.35422745,-134.9020581,
made,2011,fish island b water surface point a11,69.36652897,-134.897883,
made,2011,fish island b water surface point f8,69.36135328,-134.8958229,
made,2011,aquatic sweep pond #2,69.3703,-134.8937,
made,2011,fish island b water surface point d11,69.36443657,-134.8930876,
made,2011,aquatic sweep pond #1,69.3727,-134.8926,
made,2011,Insect dry transect start,69.37382419,-134.890243,
made,2011,Insect wet transect stop,69.37400326,-134.8898352,
made,2011,Insect dry transect stop,69.37340212,-134.8893804,
made,2011,Insect wet transect start,69.37359017,-134.8889471,
made,2011,fish island b water surface point d15,69.36669142,-134.8851684,
made,2011,fish island b water surface point g13,69.3634714,-134.8843465,
made,2011,fish island b water surface point a18,69.3704751,-134.8840293,
made,2011,Nest plot ID fish b northwest corner,69.37215709,-134.8782212,
made,2011,fish island b water surface point g18,69.36628043,-134.8744403,
made,2011,fish island b water surface point e20,69.36880881,-134.8736627,
made,2012,coast,69.4304,-135.2433,
made,2012,"far gravel, west side of taglu island",69.4232,-135.0159,
made,2012,Insect dry transect start,69.37388,-134.89018,
made,2012,Insect wet transect start,69.37401,-134.88998,
made,2012,Insect dry transect stop,69.37344,-134.8894,
made,2012,Insect wet transect stop,69.37343,-134.88904,
made,2013,Nig Lo northwest corner,69.32357,-135.34956,
made,2013,Nig Hi northwest corner,69.34722,-135.33987,
made,2013,Outcamp,69.31433,-135.32567,
made,2013,Taglu northwest corner,69.37892,-134.97787,
made,2013,Intensive plot Taglu E NW corner,69.37761,-134.95807,
made,2013,Fish A northwest corner,69.3569,-134.9184,
made,2013,Intensive plot Fish I NW corner,69.35576,-134.91264,
made,2013,Intensive plot Fish G NW corner,69.36648,-134.90312,
made,2013,Weather station ,69.37283,-134.89307,
made,2013,Main field camp (housing),69.37293,-134.89288,
made,2013,Fish B northwest corner,69.37216,-134.87822,
made,2014,nig lo northwest corner,69.32357,-135.34956,
made,2014,nig hi northwest corner,69.34722,-135.33987,
made,2014,taglu northwest corner,69.37892,-134.97787,
made,2014,intensive plot taglu b nw corner,69.37493,-134.97592,
made,2014,intensive plot taglu d nw corner,69.37895,-134.96954,
made,2014,fish a northwest corner,69.3569,-134.9184,
made,2014,intensive plot fish h nw corner,69.36221,-134.91347,
made,2014,outcamp,69.37296,-134.89331,
made,2014,weather station ,69.37291,-134.89305,
made,2014,main field camp (housing),69.37293,-134.89288,
made,2014,fish b northwest corner,69.37216,-134.87822,
nome,2011,Field camp (housing),64.44272,-164.96208,
nome,2011,Weather station ,64.44272,-164.96208,
nome,2011,Snow surface water monitor station#1,64.44322,-164.96111,
nome,2011,Lemming live trapping transect 2 stop,64.44697,-164.9592,
nome,2011,Aquatic insect trap #1,64.44389,-164.95918,
nome,2011,Snow surface water monitor station#2,64.44321,-164.95901,
nome,2011,Snow surface water monitor station#3,64.44313,-164.95694,
nome,2011,Insect dry transect start,64.44505,-164.95656,
nome,2011,Lemming live trapping transect 1 start,64.44395,-164.95592,
nome,2011,Lemming live trapping transect 2 start,64.44661,-164.95552,
nome,2011,Lemming live trapping transect 1 stop,64.44554,-164.95537,
nome,2011,Insect dry transect stop,64.44509,-164.95532,
nome,2011,Snow surface water monitor station#4,64.44307,-164.95486,
nome,2011,Insect wet transect start,64.44462,-164.95438,
nome,2011,Aquatic insect trap #2,64.44492,-164.95403,
nome,2011,Insect wet transect stop,64.44416,-164.95397,
nome,2011,Snow surface water monitor station#5,64.44302,-164.95282,
nome,2011,Aquatic insect trap #5,64.44466,-164.95171,
nome,2011,Aquatic insect trap #3,64.44385,-164.95073,
nome,2011,Snow surface water monitor station#6,64.44296,-164.95073,
nome,2011,Aquatic insect trap #4,64.44453,-164.95012,
nome,2011,Snow surface water monitor station#7,64.4429,-164.94865,
nome,2011,Snow surface water monitor station#8,64.44284,-164.94658,
nome,2011,Snow surface water monitor station#9,64.44279,-164.9445,
nome,2011,Snow surface water monitor station#10,64.44275,-164.94241,
nome,2011,Snow surface water monitor station#11,64.4427,-164.93961,
nome,2011,Snow surface water monitor station#12,64.44264,-164.93753,
nome,2011,Snow surface water monitor station#13,64.44258,-164.93542,
nome,2011,Snow surface water monitor station#14,64.44252,-164.93332,
nome,2011,Snow surface water monitor station#15,64.44247,-164.93127,
nome,2011,Snow surface water monitor station#16,64.44241,-164.9292,
nome,2011,Snow surface water monitor station#17,64.44237,-164.92712,
nome,2011,Snow surface water monitor station#18,64.44233,-164.92503,
nome,2011,Snow surface water monitor station#19,64.44228,-164.92296,
nome,2011,Snow surface water monitor station#20,64.44222,-164.92088,
nome,2012,Lemming Winter nest transect-02 start,64.44408,-164.95004,
nome,2012,Lemming Winter nest transect-02 stop,64.44619,-164.94463,
nome,2012,Lemming live trapping station #92,64.44767,-164.94211,
nome,2012,Lemming live trapping station #93,64.44782,-164.94202,
nome,2012,Lemming live trapping station #88,64.44725,-164.942,
nome,2012,Lemming live trapping station #87,64.44711,-164.94199,
nome,2012,Lemming live trapping station #86,64.44698,-164.94188,
nome,2012,Lemming live trapping station #91,64.4476,-164.94177,
nome,2012,Lemming live trapping station #85,64.44685,-164.94174,
nome,2012,Lemming live trapping station #84,64.44672,-164.94171,
nome,2012,Lemming live trapping station #89,64.44732,-164.94168,
nome,2012,Lemming live trapping station #94,64.44788,-164.94167,
nome,2012,Lemming live trapping station #83,64.44661,-164.94153,
nome,2012,Lemming live trapping station #90,64.44749,-164.94148,
nome,2012,Lemming live trapping station #95,64.44785,-164.94128,
nome,2012,Lemming live trapping station #82,64.44662,-164.94124,
nome,2012,Lemming live trapping station #96,64.4479,-164.94093,
nome,2012,Lemming live trapping station #81,64.44667,-164.9409,
nome,2012,Lemming live trapping station #76,64.44728,-164.94086,
nome,2012,Lemming live trapping station #80,64.44678,-164.94078,
nome,2012,Lemming live trapping station #97,64.44798,-164.94067,
nome,2012,Lemming live trapping station #79,64.44691,-164.94064,
nome,2012,Lemming live trapping station #77,64.44716,-164.94058,
nome,2012,Lemming live trapping station #78,64.44701,-164.94052,
nome,2012,Lemming live trapping station #98,64.44803,-164.94032,
nome,2012,Lemming live trapping station #99,64.44806,-164.93996,
nome,2012,Lemming live trapping station #100,64.44799,-164.93962,
nome,2012,Lemming live trapping station #75,64.44656,-164.93741,
nome,2012,Lemming live trapping station #74,64.44643,-164.93733,
nome,2012,Lemming live trapping station #72,64.44616,-164.93729,
nome,2012,Lemming live trapping station #73,64.4463,-164.93729,
nome,2012,Lemming live trapping station #71,64.44604,-164.93721,
nome,2012,Lemming live trapping station #70,64.44594,-164.937,
nome,2012,Lemming Winter nest transect-01 start,64.4449,-164.93697,
nome,2012,Lemming live trapping station #37,64.44772,-164.93694,
nome,2012,Lemming live trapping station #38,64.44759,-164.93686,
nome,2012,Lemming live trapping station #69,64.44583,-164.93678,
nome,2012,Lemming live trapping station #39,64.44744,-164.93672,
nome,2012,Lemming live trapping station #67,64.44552,-164.93672,
nome,2012,Lemming live trapping station #68,64.4457,-164.93669,
nome,2012,Lemming live trapping station #36,64.44781,-164.93668,
nome,2012,Lemming live trapping station #40,64.44728,-164.93661,
nome,2012,Lemming live trapping station #41,64.44717,-164.93661,
nome,2012,Lemming live trapping station #42,64.44704,-164.93651,
nome,2012,Lemming live trapping station #35,64.44788,-164.93636,
nome,2012,Lemming live trapping station #66,64.44553,-164.93634,
nome,2012,Lemming live trapping station #43,64.4471,-164.93629,
nome,2012,Lemming live trapping station #34,64.44796,-164.93605,
nome,2012,Lemming live trapping station #44,64.44724,-164.93596,
nome,2012,Lemming live trapping station #65,64.44549,-164.93596,
nome,2012,Lemming live trapping station #33,64.44804,-164.93575,
nome,2012,Lemming live trapping station #45,64.44733,-164.93575,
nome,2012,Lemming live trapping station #64,64.4454,-164.93564,
nome,2012,Lemming live trapping station #46,64.44749,-164.93555,
nome,2012,Lemming live trapping station #32,64.4481,-164.93544,
nome,2012,Lemming live trapping station #63,64.44527,-164.93533,
nome,2012,Lemming live trapping station #47,64.44759,-164.93532,
nome,2012,Lemming live trapping station #31,64.44814,-164.93513,
nome,2012,Lemming live trapping station #62,64.44514,-164.93512,
nome,2012,Lemming live trapping station #48,64.44769,-164.93506,
nome,2012,Lemming live trapping station #49,64.44778,-164.93483,
nome,2012,Lemming live trapping station #17,64.44713,-164.93477,
nome,2012,Lemming live trapping station #30,64.44817,-164.93477,
nome,2012,Lemming live trapping station #61,64.44507,-164.93477,
nome,2012,Lemming live trapping station #18,64.44731,-164.93472,
nome,2012,Lemming live trapping station #16,64.44698,-164.93469,
nome,2012,Lemming live trapping station #15,64.44686,-164.93457,
nome,2012,Lemming live trapping station #50,64.44788,-164.93454,
nome,2012,Lemming live trapping station #19,64.44743,-164.93446,
nome,2012,Lemming live trapping station #29,64.44821,-164.93446,
nome,2012,Lemming live trapping station #20,64.44755,-164.93439,
nome,2012,Lemming live trapping station #14,64.44669,-164.93437,
nome,2012,Lemming live trapping station #22,64.44793,-164.9342,
nome,2012,Lemming live trapping station #28,64.44829,-164.93417,
nome,2012,Lemming live trapping station #59,64.44486,-164.93416,
nome,2012,Lemming live trapping station #13,64.44666,-164.93405,
nome,2012,Lemming live trapping station #23,64.44801,-164.93393,
nome,2012,Lemming Winter nest transect-01 stop,64.44321,-164.93393,
nome,2012,Lemming live trapping station #58,64.44474,-164.9339,
nome,2012,Lemming live trapping station #27,64.4483,-164.93373,
nome,2012,Lemming live trapping station #57,64.4446,-164.9337,
nome,2012,Lemming live trapping station #24,64.44808,-164.93362,
nome,2012,Lemming live trapping station #12,64.44662,-164.93358,
nome,2012,Lemming live trapping station #56,64.44444,-164.93358,
nome,2012,Lemming live trapping station #26,64.44835,-164.93346,
nome,2012,Lemming live trapping station #11,64.44675,-164.93344,
nome,2012,Lemming live trapping station #55,64.44434,-164.93332,
nome,2012,Lemming live trapping station #25,64.44816,-164.93327,
nome,2012,Lemming live trapping station #6,64.44725,-164.93323,
nome,2012,Lemming live trapping station #54,64.44427,-164.93307,
nome,2012,Lemming live trapping station #5,64.44738,-164.93304,
nome,2012,Lemming live trapping station #1,64.4437,-164.93303,
nome,2012,Lemming live trapping station #7,64.44712,-164.93303,
nome,2012,Lemming live trapping station #10,64.44684,-164.93298,
nome,2012,Lemming live trapping station #4,64.44746,-164.93286,
nome,2012,Lemming live trapping station #9,64.44691,-164.93271,
nome,2012,Lemming live trapping station #53,64.44425,-164.93269,
nome,2012,Lemming live trapping station #8,64.44707,-164.93262,
nome,2012,Lemming live trapping station #3,64.44754,-164.93243,
nome,2012,Lemming live trapping station #52,64.44426,-164.93239,
nome,2012,Lemming live trapping station #2,64.44764,-164.93219,
nome,2012,Lemming live trapping station #51,64.44424,-164.93198,
prba,2014,Lemming Winter nest transect stop,70.27642,-148.80746,
prba,2014,nest monitoring plot 5 start,70.27642,-148.80746,
prba,2014,Lemming Winter nest transect stop,70.27946,-148.79816,
prba,2014,nest monitoring plot 6 start,70.27946,-148.79816,
prba,2014,Lemming Winter nest transect start,70.26928,-148.79143,
prba,2014,nest monitoring plot 5 end,70.26928,-148.79143,
prba,2014,Lemming Winter nest transect start,70.35368,-148.78352,
prba,2014,nest monitoring plot 8 start,70.35368,-148.78352,
prba,2014,Lemming Winter nest transect start,70.27367,-148.7779,
prba,2014,nest monitoring plot 6 end,70.27367,-148.7779,
prba,2014,Lemming Winter nest transect stop,70.34536,-148.77359,
prba,2014,nest monitoring plot 8 end,70.34536,-148.77359,
prba,2014,nest monitoring plot 7 start,70.35429,-148.76209,
prba,2014,nest monitoring plot 7 end,70.34528,-148.76034,
prba,2014,nest monitoring plot 12 start,70.35033,-148.65177,
prba,2014,nest monitoring plot 11 start,70.36666,-148.64484,
prba,2014,nest monitoring plot 11 end,70.35787,-148.63963,
prba,2014,nest monitoring plot 12 end,70.35325,-148.62656,
prba,2014,Lemming Winter nest transect stop,70.26305,-148.55305,
prba,2014,nest monitoring plot 2 end,70.26305,-148.55305,
prba,2014,Lemming Winter nest transect start,70.27148,-148.54416,
prba,2014,nest monitoring plot 2 start,70.27148,-148.54416,
prba,2014,Lemming Winter nest transect start,70.2674,-148.53943,
prba,2014,nest monitoring plot 1 end,70.2674,-148.53943,
prba,2014,Lemming Winter nest transect stop,70.27622,-148.53428,
prba,2014,nest monitoring plot 1 start,70.27622,-148.53428,
prba,2014,Lemming Winter nest transect start,70.20904,-148.53036,
prba,2014,nest monitoring plot 9 end,70.20904,-148.53036,
prba,2014,Lemming Winter nest transect stop,70.22212,-148.52107,
prba,2014,nest monitoring plot 10 end,70.22212,-148.52107,
prba,2014,Lemming Winter nest transect stop,70.20101,-148.5189,
prba,2014,nest monitoring plot 9 start,70.20101,-148.5189,
prba,2014,Lemming Winter nest transect start,70.21377,-148.5118,
prba,2014,nest monitoring plot 10 start,70.21377,-148.5118,
prba,2014,nest monitoring plot 21 end,70.23844,-148.10294,
prba,2014,nest monitoring plot 22 end,70.2383,-148.0897,
prba,2014,nest monitoring plot 21 start,70.23574,-148.0777,
prba,2014,nest monitoring plot 22 start,70.24628,-148.07735,
prba,2014,Predator point counts,see nest monitoring plot start and end points,,
prba,2014,Lemming live transect count start,see nest monitoring plot start points,,
prba,2014,Lemming live transect count stop,see nest monitoring plot end points,,
barr,2010,Field camp (housing),71.30153,-156.76003,
barr,2010,Weather station ,Barrow airport weather station,,
barr,2010,Insect dry transect start:,71.28849,156.65570,
barr,2010,Insect dry transect stop:,71.28907,156.65410,
barr,2010,Insect wet transect start:,71.28901,156.65678,
barr,2010,Insect wet transect stop:,71.28954,156.65715,
barr,2010,Aquatic insect trap #1,71.28846,156.66159,
barr,2010,Aquatic insect trap #2,71.28851,156.66061,
barr,2010,Aquatic insect trap #3,71.28873,156.66072,
barr,2010,Aquatic insect trap #4,71.28880,156.65720,
barr,2010,Aquatic insect trap #5,71.28918,156.65756,
barr,2010,Lemming Winter nest transect start:,see lemming data ,see lemming data,
barr,2010,Lemming Winter nest transect stop:,see lemming data ,see lemming data,
barr,2010,Lemming live transect count start:,n/a,n/a,
barr,2010,Lemming live transect count stop:,n/a,n/a,
barr,2010,"Predator point count c7, plot 1",71.29892,-156.63867,
barr,2010,"Predator point count g7, plot 1",71.29806,-156.63374,
barr,2010,"Predator point count k7, plot 1",71.29723,-156.62883,
barr,2010,"Predator point count c7, plot 2",71.29472,-156.64970,
barr,2010,"Predator point count g7, plot 2",71.29283,-156.65007,
barr,2010,"Predator point count k7, plot 2",71.29096,-156.65042,
barr,2010,"Predator point count c7, plot 3",71.27109,-156.53017,
barr,2010,"Predator point count g7, plot 3",71.26931,-156.52945,
barr,2010,"Predator point count k7, plot 3",71.26751,-156.52879,
barr,2010,"Predator point count c7, plot 5",71.26391,-156.52699,
barr,2010,"Predator point count g7, plot 5",71.26216,-156.51963,
barr,2010,"Predator point count k7, plot 5",71.26038,-156.51925,
barr,2010,"Predator point count c7, plot 6",71.24365,-156.54669,
barr,2010,"Predator point count g7, plot 6",71.24185,-156.54689,
barr,2010,"Predator point count k7, plot 6",71.24004,-156.54709,
barr,2010,"Predator point count c7, plot 8",71.24916,-156.57774,
barr,2010,"Predator point count g7, plot 8",71.24737,-156.57796,
barr,2010,"Predator point count k7, plot 8",71.24557,-156.57819,
barr,2010,Plot 1 northwest corner,71.29689,-156.64528,
barr,2010,Plot 2 northwest corner,71.29580,-156.65819,
barr,2010,Plot 3 northwest corner,71.27173,-156.53875,
barr,2010,Plot 5 northwest corner,71.26466,-156.53570,
barr,2010,Plot 6 northwest corner,71.24462,-156.55490,
barr,2010,Plot 8 northwest corner,71.25016,-156.58598,
