Site,Year,Date,Start_time,End_time,Transect_ID,Start_lat,End_lat,Start_lon,End_lon,Observer,brle_count,cole_count,unle_count
prba,2011,14-Jun-11,14:24,17:29,6,70.27946,70.27367,148.79816,148.7779,eames,0,0,0
prba,2011,18-Jun-11,14:50,17:20,22,70.24628,70.2383,148.07735,148.0897,eames,0,0,0
prba,2011,2-Jul-11,15:00,17:00,6,70.27946,70.27367,148.79816,148.7779,eames,0,0,0
prba,2011,8-Jul-11,16:15,17:34,22,70.24628,70.2383,148.07735,148.0897,eames,0,0,0
prba,2012,17-Jun-12,8:20,11:40,plot1,70.27622,70.2674,148.53428,148.53943,jlautenbach,0,0,0
prba,2012,15-Jul-12,8:27,9:41,plot1,70.27622,70.2674,148.53428,148.53943,jlautenbach,0,0,0
prba,2012,14-Jul-12,8:50,10:04,plot5,70.27642,70.26928,148.80746,148.79143,jlautenbach,0,0,0
prba,2012,16-Jun-12,8:50,13:05,plot11,70.36666,70.35787,148.64484,148.63963,jlautenbach,0,0,0
prba,2012,15-Jun-12,8:50,12:18,plot7,70.35429,70.34528,148.76209,148.76034,jlautenbach,0,0,0
prba,2012,28-Jun-12,8:51,9:28,plot11,70.36666,70.35787,148.64484,148.63963,jlautenbach,0,0,0
prba,2012,26-Jun-12,8:55,12:58,plot5,70.27642,70.26928,148.80746,148.79143,jlautenbach,0,0,0
prba,2012,27-Jun-12,8:57,10:50,plot11,70.36666,70.35787,148.64484,148.63963,jlautenbach,0,0,0
prba,2012,15-Jul-12,10:30,11:35,plot9,70.20101,70.20904,148.5189,148.53036,jlautenbach,0,0,0
prba,2012,28-Jun-12,10:55,14:14,plot1,70.27622,70.2674,148.53428,148.53943,jlautenbach,0,0,0
prba,2012,14-Jul-12,11:12,12:10,plot7,70.35429,70.34528,148.76209,148.76034,jlautenbach,0,0,0
prba,2012,27-Jun-12,12:34,17:12,plot9,70.20101,70.20904,148.5189,148.53036,jlautenbach,0,0,0
prba,2012,15-Jul-12,13:02,14:00,plot21,70.23574,70.23844,148.0777,148.10294,jlautenbach,0,0,0
prba,2012,14-Jul-12,13:23,14:22,plot11,70.36666,70.35787,148.64484,148.63963,jlautenbach,0,0,0
prba,2012,17-Jun-12,13:38,17:43,plot21,70.23574,70.23844,148.0777,148.10294,jlautenbach,0,0,0
prba,2012,15-Jun-12,14:36,18:45,plot5,70.27642,70.26928,148.80746,148.79143,jlautenbach,0,0,0
prba,2012,26-Jun-12,14:41,18:47,plot7,70.35429,70.34528,148.76209,148.76034,jlautenbach,0,0,0
prba,2012,16-Jun-12,15:00,19:10,plot9,70.20101,70.20904,148.5189,148.53036,jlautenbach,0,0,0
prba,2012,28-Jun-12,15:45,19:06,plot21,70.23574,70.23844,148.0777,148.10294,jlautenbach,0,0,0
chur,2014,9-Jul-14,14:55,15:32,2,58.65758,58.67587,93.85063,93.85075,jperz,0,0,0
chur,2014,8-Jul-14,10:53,11:28,3,58.66292,58.66285,93.83479,93.8008,jperz & cmurchison,0,0,0
ikpi,2011,27-Jun-11,9:25,17:00,plot2,70.55684,70.5555,154.69867,154.72511,jwright,3,1,0
ikpi,2011,15-Jun-11,9:50,18:40,plot2,70.55684,70.5555,154.69867,154.72511,jwright,3,4,0
ikpi,2011,29-Jun-11,10:00,18:00,plot11,70.53922,70.53097,154.73986,154.75032,jwright,0,0,0
ikpi,2011,16-Jun-11,10:10,17:51,plot8,70.54038,70.5476,154.6785,154.6625,jwright,5,0,0
ikpi,2011,17-Jun-11,10:25,17:25,plot11,70.53922,70.53097,154.73986,154.75032,jwright,0,0,0
ikpi,2011,28-Jun-11,10:30,17:15,plot8,70.54038,70.5476,154.6785,154.6625,jwright,0,0,0
ikpi,2011,11-Jul-11,11:38,13:40,plot11,70.53922,70.53097,154.73986,154.75032,jwright,0,0,0
ikpi,2011,11-Jul-11,13:50,15:02,plot9,70.53647,70.5446,154.75169,154.74032,jwright,0,0,0
made,2011,19-Jun-11,11:00,18:00,,69.370833,69.370833,134.887778,134.887778,knuyaviak,2,0,0
made,2011,14-Jun-11,13:15,17:05,,69.370833,69.370833,134.887778,134.887778,knuyaviak,3,0,0
ikpi,2012,28-Jun-12,9:30,16:23,plot10,70.54079,70.54728,154.75922,154.74055,kpietrzak,0,0,1
ikpi,2011,28-Jun-11,9:45,14:30,plot6,70.5308,70.53975,154.68693,154.68341,kpietrzak,0,0,0
ikpi,2011,29-Jun-11,9:47,17:00,plot9,70.53647,70.5446,154.75169,154.74032,kpietrzak,0,0,0
ikpi,2011,16-Jun-11,10:04,18:35,plot6,70.5308,70.53975,154.68693,154.68341,kpietrzak,0,0,0
ikpi,2012,16-Jun-12,10:06,17:31,plot8,70.54038,70.5476,154.6785,154.6625,kpietrzak,0,0,0
ikpi,2011,27-Jun-11,10:07,17:39,plot4,70.58572,70.57717,154.70233,154.71078,kpietrzak,0,0,0
ikpi,2011,15-Jun-11,10:07,17:08,plot4,70.58572,70.57717,154.70233,154.71078,kpietrzak,0,0,0
ikpi,2012,15-Jun-12,10:08,17:34,plot3,70.56718,70.55834,154.71345,154.70919,kpietrzak,5,0,0
ikpi,2012,17-Jun-12,10:10,15:40,plot10,70.54079,70.54728,154.75922,154.74055,kpietrzak,0,0,0
ikpi,2011,17-Jun-11,10:20,18:30,plot9,70.53647,70.5446,154.75169,154.74032,kpietrzak,0,0,0
ikpi,2012,26-Jun-12,10:20,17:36,plot3,70.56718,70.55834,154.71345,154.70919,kpietrzak,0,0,1
ikpi,2012,27-Jun-12,10:30,16:15,plot8,70.54038,70.5476,154.6785,154.6625,kpietrzak,0,0,0
ikpi,2011,9-Jul-11,10:45,12:07,plot3,70.56718,70.55834,154.71345,154.70919,kpietrzak,0,0,0
ikpi,2011,10-Jul-11,11:43,13:25,plot8,70.54038,70.5476,154.6785,154.6625,kpietrzak,0,0,0
